2,260515841,999999999,1,999999999,14,game00002.log,
3,260515841,999999999,1,999999999,16,game00003.log,
4,260515841,999999999,0,260515841,14,game00004.log,
5,260515841,260515841,0,260515841,22,game00005.log,
6,260515841,260515841,0,260515841,31,game00006.log,
7,999999999,260515841,0,999999999,41,game00007.log,
9,999999999,260515841,0,999999999,33,game00009.log,DISCONNECTION Player-1
10,999999999,260515841,1,260515841,63,game00010.log,
11,999999999,260515841,0,999999999,20,game00011.log,
12,260515841,999999999,0,260515841,23,game00012.log,
13,260515841,999999999,0,260515841,33,game00013.log,
14,999999999,260515841,0,999999999,36,game00014.log,
15,999999999,260515841,0,999999999,27,game00015.log,
16,999999999,260515841,0,999999999,28,game00016.log,
17,999999999,260515841,0,999999999,49,game00017.log,
18,260515841,999999999,0,260515841,29,game00018.log,
19,260515841,999999999,0,260515841,28,game00019.log,
20,260515841,999999999,0,260515841,19,game00020.log,
21,999999999,260515841,0,999999999,36,game00021.log,
22,999999999,260515841,0,999999999,20,game00022.log,
23,999999999,260515841,0,999999999,3,game00023.log,TIMEOUT
24,999999999,260515841,0,999999999,13,game00024.log,TIMEOUT
25,260515841,999999999,0,260515841,70,game00025.log,
26,260515841,999999999,1,999999999,1,game00026.log,TIMEOUT
27,260515841,999999999,1,999999999,34,game00027.log,TIMEOUT
28,260515841,999999999,0,260515841,29,game00028.log,
29,260515841,999999999,1,999999999,21,game00029.log,
30,260515841,999999999,1,999999999,3,game00030.log,TIMEOUT
31,260515841,999999999,0,260515841,28,game00031.log,
32,260515841,999999999,1,999999999,29,game00032.log,
34,999999999,260515841,0,999999999,15,game00034.log,
35,999999999,260515841,0,999999999,5,game00035.log,
36,260515841,999999999,1,999999999,15,game00036.log,
37,260515841,999999999,0,260515841,25,game00037.log,
38,260515841,999999999,0,260515841,29,game00038.log,
39,999999999,260515841,0,999999999,8,game00039.log,
40,260515841,999999999,1,999999999,45,game00040.log,
41,260515841,999999999,0,260515841,28,game00041.log,
42,260515841,999999999,1,999999999,37,game00042.log,
43,260515841,999999999,1,999999999,11,game00043.log,TIMEOUT
44,260515841,999999999,0,260515841,21,game00044.log,
45,999999999,260515841,1,260515841,28,game00045.log,
46,999999999,260515841,1,260515841,32,game00046.log,
47,999999999,260515841,1,260515841,33,game00047.log,
48,260515841,999999999,0,260515841,8,game00048.log,
49,999999999,260515841,1,260515841,11,game00049.log,
50,999999999,260515841,1,260515841,12,game00050.log,
51,999999999,260515841,1,260515841,6,game00051.log,
52,999999999,260515841,1,260515841,8,game00052.log,
53,999999999,260515841,0,999999999,25,game00053.log,
54,260515841,999999999,0,260515841,1,game00054.log,TIMEOUT
55,999999999,260515841,1,260515841,7,game00055.log,
56,260515841,999999999,1,999999999,10,game00056.log,
57,260515841,999999999,1,999999999,26,game00057.log,
58,260515841,999999999,0,260515841,12,game00058.log,
59,260515841,999999999,0,260515841,12,game00059.log,
60,999999999,260515841,0,999999999,13,game00060.log,
61,999999999,260515841,1,260515841,15,game00061.log,
62,999999999,260515841,0,999999999,16,game00062.log,
63,999999999,260515841,1,260515841,12,game00063.log,
64,999999999,260515841,1,260515841,1,game00064.log,TIMEOUT
65,260515841,999999999,1,999999999,22,game00065.log,
66,260515841,999999999,1,999999999,11,game00066.log,
67,260515841,999999999,1,999999999,9,game00067.log,
68,260515841,999999999,0,260515841,12,game00068.log,
69,999999999,260515841,1,260515841,12,game00069.log,
70,260515841,999999999,0,260515841,16,game00070.log,
71,999999999,260515841,1,260515841,17,game00071.log,
72,260515841,999999999,0,260515841,20,game00072.log,
73,999999999,260515841,1,260515841,9,game00073.log,
74,999999999,260515841,0,999999999,29,game00074.log,
75,999999999,260515841,1,260515841,10,game00075.log,
76,999999999,260515841,1,260515841,7,game00076.log,
77,999999999,260515841,0,999999999,9,game00077.log,
78,260515841,999999999,0,260515841,15,game00078.log,
79,260515841,999999999,0,260515841,20,game00079.log,
80,260515841,999999999,0,260515841,8,game00080.log,
81,260515841,999999999,0,260515841,21,game00081.log,
82,260515841,999999999,0,260515841,19,game00082.log,
83,260515841,999999999,0,260515841,12,game00083.log,
84,260515841,999999999,1,999999999,34,game00084.log,
85,260515841,999999999,0,260515841,10,game00085.log,
86,999999999,260515841,1,260515841,31,game00086.log,
87,999999999,260515841,1,260515841,12,game00087.log,
88,999999999,260515841,0,999999999,24,game00088.log,
89,260515841,999999999,1,999999999,26,game00089.log,
90,999999999,260515841,1,260515841,9,game00090.log,
91,999999999,260515841,1,260515841,12,game00091.log,
92,260515841,999999999,0,260515841,27,game00092.log,
93,999999999,260515841,1,260515841,11,game00093.log,
94,999999999,260515841,1,260515841,13,game00094.log,
95,260515841,999999999,0,260515841,11,game00095.log,
96,260515841,RandomHusPlayer,0,260515841,16,game00096.log,
97,260515841,RandomHusPlayer,0,260515841,17,game00097.log,
98,RandomHusPlayer,260515841,1,260515841,8,game00098.log,
